tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,formation_error,d1_track,d1_formation,d1_avoidance,d1_altitude,d2_track,d2_formation,d2_avoidance,d2_altitude
883,4.0917,-2.945,0.911,-5.049,-3.508,1.510,-4.967,-7.871,0.954,-5.016,-8.554,1.483,-4.979,0.053,0.834,0.054,0.000,0.033,0.849,0.054,0.000,0.021
884,4.1067,-2.881,0.874,-5.032,-3.456,1.440,-4.981,-7.812,0.905,-5.001,-8.499,1.421,-4.992,0.048,0.822,0.049,0.000,0.019,0.842,0.049,0.000,0.008
885,4.1217,-2.813,0.833,-5.013,-3.407,1.375,-4.997,-7.756,0.862,-4.980,-8.443,1.357,-5.009,0.040,0.816,0.042,0.000,0.003,0.832,0.042,0.000,0.009
886,4.1367,-2.744,0.794,-4.995,-3.359,1.310,-5.013,-7.701,0.818,-4.959,-8.386,1.295,-5.026,0.031,0.812,0.034,0.000,0.013,0.825,0.034,0.000,0.026
887,4.1517,-2.668,0.753,-4.983,-3.311,1.249,-5.024,-7.649,0.778,-4.944,-8.323,1.233,-5.037,0.019,0.812,0.024,0.000,0.024,0.813,0.024,0.000,0.037
888,4.1667,-2.599,0.723,-4.977,-3.260,1.187,-5.026,-7.591,0.730,-4.946,-8.265,1.182,-5.038,0.007,0.809,0.013,0.000,0.026,0.811,0.013,0.000,0.038
889,4.1817,-2.523,0.686,-4.983,-3.211,1.133,-5.019,-7.539,0.689,-4.963,-8.201,1.131,-5.026,0.010,0.813,0.012,0.000,0.019,0.804,0.012,0.000,0.026
890,4.1967,-2.454,0.657,-4.999,-3.157,1.077,-5.004,-7.477,0.643,-4.987,-8.143,1.086,-5.008,0.017,0.813,0.017,0.000,0.004,0.806,0.017,0.000,0.008
891,4.2117,-2.381,0.623,-5.015,-3.105,1.027,-4.988,-7.419,0.604,-5.014,-8.081,1.039,-4.988,0.027,0.817,0.027,0.000,0.012,0.803,0.027,0.000,0.012
892,4.2267,-2.317,0.595,-5.029,-3.051,0.980,-4.976,-7.351,0.561,-5.029,-8.030,1.001,-4.976,0.030,0.822,0.030,0.000,0.024,0.814,0.030,0.000,0.024
