tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
411,-1.5708,2.489,0.008,-5.000,2.483,0.012,-5.002,0.3227,0.7671,0.0207,0.0027,0.0207,-2.511,0.010,-5.000,-2.517,0.016,-4.991,0.3463,0.7477,0.0235,0.0069,0.0235
412,-1.5708,2.488,0.009,-5.000,2.484,0.012,-5.002,0.2403,0.8816,0.0204,0.0013,-0.0003,-2.514,0.012,-5.000,-2.519,0.016,-4.991,0.2500,0.8707,0.0248,0.0052,0.0013
413,-1.5708,2.488,0.009,-5.000,2.484,0.012,-5.003,0.2360,0.8855,0.0196,-0.0002,-0.0008,-2.516,0.011,-5.000,-2.522,0.015,-4.991,0.2506,0.8696,0.0263,0.0031,0.0015
414,-1.5708,2.489,0.008,-5.000,2.486,0.011,-5.004,0.2289,0.8913,0.0179,-0.0017,-0.0017,-2.518,0.010,-5.000,-2.524,0.013,-4.992,0.2509,0.8701,0.0274,0.0009,0.0011
415,-1.5708,2.491,0.007,-5.000,2.488,0.010,-5.004,0.2245,0.8950,0.0156,-0.0029,-0.0023,-2.520,0.008,-5.000,-2.526,0.011,-4.992,0.2515,0.8699,0.0284,-0.0012,0.0010
416,-1.5707,2.493,0.006,-5.000,2.491,0.008,-5.005,0.2202,0.8989,0.0126,-0.0040,-0.0030,-2.521,0.007,-5.000,-2.528,0.009,-4.993,0.2524,0.8688,0.0297,-0.0030,0.0013
417,-1.5707,2.495,0.005,-5.000,2.493,0.006,-5.005,0.2187,0.8999,0.0095,-0.0047,-0.0031,-2.523,0.005,-5.000,-2.530,0.007,-4.994,0.2541,0.8660,0.0318,-0.0052,0.0021
418,-1.5706,2.497,0.002,-5.000,2.496,0.003,-5.005,0.2157,0.9026,0.0058,-0.0049,-0.0037,-2.524,0.005,-5.000,-2.533,0.006,-4.995,0.2554,0.8651,0.0340,-0.0069,0.0021
419,-1.5706,2.498,-0.000,-5.000,2.498,-0.000,-5.004,0.2197,0.8977,0.0035,-0.0047,-0.0023,-2.525,0.005,-5.000,-2.534,0.006,-4.995,0.2565,0.8647,0.0360,-0.0081,0.0020
420,-1.5705,2.500,-0.003,-5.000,2.499,-0.004,-5.003,0.2399,0.8776,0.0049,-0.0041,0.0014,-2.526,0.005,-5.000,-2.535,0.007,-4.996,0.2569,0.8658,0.0374,-0.0085,0.0014
421,-1.5704,2.501,-0.006,-5.000,2.500,-0.008,-5.002,0.2461,0.8674,0.0087,-0.0031,0.0038,-2.526,0.005,-5.000,-2.536,0.007,-4.997,0.2574,0.8661,0.0385,-0.0079,0.0011
422,-1.5702,2.501,-0.010,-5.000,2.500,-0.014,-5.000,0.2534,0.8586,0.0139,-0.0019,0.0052,-2.526,0.004,-5.000,-2.536,0.006,-4.998,0.2550,0.8686,0.0392,-0.0065,0.0007
423,-1.5701,2.500,-0.014,-5.000,2.499,-0.019,-4.998,0.2583,0.8537,0.0197,-0.0004,0.0058,-2.526,0.003,-5.000,-2.536,0.004,-4.999,0.2522,0.8713,0.0396,-0.0040,0.0005
424,-1.5699,2.500,-0.017,-5.000,2.499,-0.023,-4.996,0.2553,0.8592,0.0241,0.0008,0.0044,-2.525,0.001,-5.000,-2.535,0.001,-5.000,0.2500,0.8732,0.0399,-0.0014,0.0002
425,-1.5697,2.500,-0.020,-5.000,2.498,-0.027,-4.995,0.2572,0.8583,0.0285,0.0021,0.0043,-2.524,-0.002,-5.000,-2.534,-0.003,-5.001,0.2474,0.8758,0.0399,0.0020,-0.0000
426,-1.5695,2.500,-0.023,-5.000,2.497,-0.031,-4.993,0.2583,0.8584,0.0325,0.0033,0.0040,-2.523,-0.005,-5.000,-2.533,-0.007,-5.001,0.2513,0.8723,0.0402,0.0049,0.0003
427,-1.5692,2.500,-0.025,-5.000,2.497,-0.033,-4.992,0.2559,0.8640,0.0349,0.0041,0.0024,-2.521,-0.008,-5.000,-2.531,-0.011,-5.002,0.2559,0.8680,0.0410,0.0075,0.0008
428,-1.5689,2.500,-0.025,-5.000,2.497,-0.033,-4.991,0.2542,0.8690,0.0356,0.0045,0.0007,-2.520,-0.011,-5.000,-2.530,-0.014,-5.002,0.2588,0.8654,0.0420,0.0093,0.0010
429,-1.5685,2.501,-0.024,-5.000,2.498,-0.032,-4.991,0.2426,0.8812,0.0350,0.0044,-0.0006,-2.518,-0.013,-5.000,-2.528,-0.017,-5.001,0.2577,0.8666,0.0428,0.0101,0.0009
430,-1.5682,2.503,-0.024,-5.000,2.499,-0.031,-4.991,0.2414,0.8827,0.0341,0.0040,-0.0008,-2.516,-0.014,-5.000,-2.526,-0.019,-5.001,0.2568,0.8676,0.0436,0.0101,0.0007
431,-1.5677,2.504,-0.023,-5.000,2.501,-0.030,-4.992,0.2398,0.8841,0.0332,0.0033,-0.0010,-2.514,-0.016,-5.000,-2.524,-0.021,-5.001,0.2577,0.8668,0.0444,0.0093,0.0008
432,-1.5673,2.505,-0.021,-5.000,2.501,-0.028,-4.994,0.2417,0.8820,0.0325,0.0023,-0.0007,-2.512,-0.016,-5.000,-2.522,-0.022,-5.001,0.2561,0.8682,0.0450,0.0075,0.0007
433,-1.5668,2.507,-0.020,-5.000,2.502,-0.026,-4.995,0.2426,0.8806,0.0320,0.0012,-0.0005,-2.510,-0.016,-5.000,-2.520,-0.022,-5.002,0.2566,0.8676,0.0457,0.0052,0.0007
434,-1.5662,2.508,-0.019,-5.000,2.503,-0.025,-4.997,0.2446,0.8780,0.0319,-0.0002,-0.0001,-2.508,-0.015,-5.000,-2.520,-0.020,-5.002,0.2613,0.8624,0.0471,0.0022,0.0013
435,-1.5656,2.510,-0.018,-5.000,2.504,-0.024,-4.998,0.2539,0.8685,0.0328,-0.0016,0.0009,-2.507,-0.014,-5.000,-2.519,-0.019,-5.002,0.2624,0.8602,0.0490,-0.0007,0.0019
436,-1.5650,2.510,-0.018,-5.000,2.504,-0.024,-4.998,0.2549,0.8662,0.0345,-0.0025,0.0017,-2.506,-0.013,-5.000,-2.519,-0.017,-5.002,0.2644,0.8581,0.0514,-0.0035,0.0024
437,-1.5643,2.512,-0.017,-5.000,2.505,-0.023,-4.998,0.2559,0.8656,0.0362,-0.0036,0.0017,-2.506,-0.011,-5.000,-2.519,-0.015,-5.000,0.2663,0.8562,0.0540,-0.0060,0.0026
438,-1.5635,2.514,-0.017,-5.000,2.506,-0.022,-4.998,0.2569,0.8647,0.0379,-0.0043,0.0018,-2.505,-0.009,-5.000,-2.520,-0.013,-4.999,0.2703,0.8514,0.0576,-0.0080,0.0036
439,-1.5627,2.516,-0.016,-5.000,2.507,-0.022,-4.997,0.2578,0.8642,0.0396,-0.0046,0.0017,-2.504,-0.008,-5.000,-2.520,-0.011,-4.996,0.2740,0.8476,0.0618,-0.0092,0.0042
440,-1.5619,2.518,-0.016,-5.000,2.509,-0.021,-4.996,0.2587,0.8636,0.0413,-0.0046,0.0017,-2.503,-0.007,-5.000,-2.521,-0.010,-4.994,0.2767,0.8455,0.0661,-0.0093,0.0043
441,-1.5610,2.522,-0.015,-5.000,2.512,-0.020,-4.995,0.2571,0.8666,0.0422,-0.0041,0.0009,-2.501,-0.007,-5.000,-2.521,-0.010,-4.993,0.2803,0.8419,0.0708,-0.0087,0.0047
442,-1.5600,2.525,-0.014,-5.000,2.515,-0.019,-4.995,0.2582,0.8655,0.0432,-0.0033,0.0010,-2.500,-0.008,-5.000,-2.521,-0.011,-4.992,0.2846,0.8377,0.0759,-0.0071,0.0052
443,-1.5590,2.529,-0.013,-5.000,2.519,-0.018,-4.995,0.2599,0.8636,0.0444,-0.0022,0.0012,-2.498,-0.009,-5.000,-2.521,-0.013,-4.992,0.2860,0.8373,0.0809,-0.0047,0.0049
444,-1.5579,2.533,-0.012,-5.000,2.522,-0.017,-4.994,0.2604,0.8631,0.0456,-0.0008,0.0012,-2.495,-0.010,-5.000,-2.520,-0.015,-4.992,0.2880,0.8361,0.0857,-0.0020,0.0048
445,-1.5567,2.537,-0.011,-5.000,2.525,-0.016,-4.994,0.2619,0.8602,0.0477,0.0006,0.0021,-2.493,-0.012,-5.000,-2.519,-0.017,-4.993,0.2917,0.8329,0.0908,0.0012,0.0051
446,-1.5555,2.541,-0.011,-5.000,2.528,-0.015,-4.993,0.2650,0.8560,0.0507,0.0018,0.0031,-2.490,-0.013,-5.000,-2.518,-0.019,-4.994,0.2950,0.8304,0.0961,0.0040,0.0053
447,-1.5542,2.545,-0.010,-5.000,2.531,-0.013,-4.993,0.2665,0.8552,0.0537,0.0031,0.0030,-2.487,-0.015,-5.000,-2.516,-0.021,-4.994,0.2969,0.8298,0.1011,0.0064,0.0050
448,-1.5529,2.549,-0.008,-5.000,2.533,-0.012,-4.993,0.2703,0.8509,0.0575,0.0041,0.0037,-2.483,-0.016,-5.000,-2.514,-0.023,-4.995,0.2993,0.8286,0.1060,0.0082,0.0049
449,-1.5515,2.553,-0.007,-5.000,2.536,-0.010,-4.994,0.2739,0.8472,0.0617,0.0046,0.0042,-2.479,-0.017,-5.000,-2.511,-0.024,-4.995,0.3008,0.8283,0.1106,0.0095,0.0046
450,-1.5500,2.557,-0.006,-5.000,2.538,-0.009,-4.994,0.2781,0.8431,0.0665,0.0049,0.0048,-2.474,-0.018,-5.000,-2.508,-0.026,-4.994,0.3037,0.8261,0.1153,0.0099,0.0047
451,-1.5484,2.561,-0.005,-5.000,2.541,-0.008,-4.994,0.2835,0.8376,0.0719,0.0047,0.0055,-2.469,-0.019,-5.000,-2.505,-0.028,-4.994,0.3083,0.8217,0.1206,0.0097,0.0053
452,-1.5468,2.565,-0.004,-5.000,2.542,-0.007,-4.995,0.2915,0.8293,0.0785,0.0041,0.0066,-2.464,-0.020,-5.000,-2.502,-0.030,-4.994,0.3135,0.8168,0.1265,0.0088,0.0059
453,-1.5451,2.569,-0.004,-5.000,2.543,-0.006,-4.995,0.2993,0.8218,0.0860,0.0033,0.0075,-2.459,-0.021,-5.000,-2.500,-0.031,-4.994,0.3200,0.8105,0.1332,0.0074,0.0067
