tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
411,-1.5708,2.516,-0.016,-5.000,2.529,-0.028,-5.009,0.4418,0.6711,0.0406,-0.0024,0.0406,-2.495,0.002,-5.000,-2.493,0.003,-5.001,0.2603,0.8480,0.0073,-0.0037,0.0073
412,-1.5708,2.524,-0.016,-5.000,2.531,-0.021,-5.010,0.2307,0.8930,0.0377,-0.0036,-0.0029,-2.494,0.003,-5.000,-2.492,0.004,-4.999,0.2421,0.8756,0.0089,-0.0043,0.0016
413,-1.5708,2.525,-0.011,-5.000,2.533,-0.014,-5.011,0.2324,0.8909,0.0355,-0.0044,-0.0022,-2.493,0.004,-5.000,-2.491,0.005,-4.997,0.2426,0.8758,0.0103,-0.0044,0.0013
414,-1.5708,2.525,-0.006,-5.000,2.533,-0.008,-5.011,0.2377,0.8859,0.0342,-0.0047,-0.0013,-2.492,0.003,-5.000,-2.490,0.005,-4.995,0.2430,0.8763,0.0112,-0.0040,0.0010
415,-1.5708,2.526,-0.002,-5.000,2.534,-0.003,-5.011,0.2425,0.8810,0.0336,-0.0045,-0.0006,-2.492,0.003,-5.000,-2.489,0.004,-4.994,0.2424,0.8785,0.0114,-0.0029,0.0002
416,-1.5707,2.526,0.001,-5.000,2.534,0.002,-5.010,0.2452,0.8775,0.0335,-0.0039,-0.0001,-2.492,0.002,-5.000,-2.489,0.003,-4.994,0.2328,0.8871,0.0106,-0.0012,-0.0008
417,-1.5707,2.526,0.005,-5.000,2.534,0.007,-5.008,0.2532,0.8696,0.0342,-0.0027,0.0007,-2.492,0.001,-5.000,-2.490,0.001,-4.995,0.2334,0.8865,0.0098,0.0006,-0.0007
418,-1.5706,2.526,0.009,-5.000,2.534,0.012,-5.008,0.2552,0.8667,0.0355,-0.0012,0.0013,-2.492,-0.001,-5.000,-2.489,-0.001,-4.996,0.2421,0.8786,0.0100,0.0027,0.0002
419,-1.5706,2.526,0.012,-5.000,2.534,0.016,-5.007,0.2558,0.8663,0.0368,0.0005,0.0013,-2.491,-0.003,-5.000,-2.489,-0.004,-4.998,0.2431,0.8759,0.0112,0.0048,0.0012
420,-1.5705,2.526,0.014,-5.000,2.534,0.019,-5.008,0.2558,0.8673,0.0377,0.0020,0.0009,-2.491,-0.005,-5.000,-2.488,-0.006,-5.000,0.2437,0.8766,0.0119,0.0066,0.0007
421,-1.5704,2.525,0.016,-5.000,2.533,0.022,-5.010,0.2505,0.8727,0.0380,0.0032,0.0003,-2.491,-0.006,-5.000,-2.489,-0.008,-5.002,0.2395,0.8814,0.0118,0.0079,-0.0001
422,-1.5702,2.525,0.018,-5.000,2.533,0.024,-5.012,0.2514,0.8720,0.0384,0.0044,0.0004,-2.492,-0.006,-5.000,-2.491,-0.008,-5.003,0.2312,0.8885,0.0107,0.0086,-0.0010
423,-1.5701,2.525,0.019,-5.000,2.533,0.026,-5.014,0.2531,0.8704,0.0389,0.0052,0.0006,-2.494,-0.007,-5.000,-2.493,-0.009,-5.003,0.2333,0.8867,0.0100,0.0087,-0.0008
424,-1.5699,2.526,0.020,-5.000,2.533,0.027,-5.016,0.2518,0.8718,0.0393,0.0058,0.0004,-2.496,-0.008,-5.000,-2.496,-0.010,-5.003,0.2423,0.8790,0.0101,0.0083,0.0001
425,-1.5697,2.526,0.022,-5.000,2.533,0.029,-5.017,0.2546,0.8690,0.0400,0.0060,0.0007,-2.498,-0.008,-5.000,-2.499,-0.011,-5.003,0.2436,0.8750,0.0116,0.0071,0.0015
426,-1.5695,2.526,0.023,-5.000,2.533,0.032,-5.018,0.2586,0.8650,0.0411,0.0060,0.0011,-2.500,-0.008,-5.000,-2.502,-0.011,-5.004,0.2457,0.8712,0.0140,0.0054,0.0024
427,-1.5692,2.527,0.026,-5.000,2.533,0.034,-5.018,0.2595,0.8630,0.0428,0.0056,0.0017,-2.503,-0.008,-5.000,-2.506,-0.010,-5.006,0.2492,0.8662,0.0175,0.0030,0.0034
428,-1.5689,2.527,0.028,-5.000,2.534,0.038,-5.019,0.2604,0.8622,0.0446,0.0049,0.0018,-2.505,-0.007,-5.000,-2.510,-0.009,-5.008,0.2535,0.8609,0.0217,0.0005,0.0043
429,-1.5685,2.528,0.030,-5.000,2.534,0.041,-5.019,0.2615,0.8610,0.0466,0.0039,0.0020,-2.508,-0.006,-5.000,-2.515,-0.008,-5.011,0.2605,0.8533,0.0271,-0.0024,0.0054
430,-1.5682,2.528,0.033,-5.000,2.533,0.044,-5.020,0.2622,0.8607,0.0484,0.0028,0.0018,-2.510,-0.004,-5.000,-2.519,-0.005,-5.013,0.2622,0.8530,0.0322,-0.0049,0.0051
431,-1.5677,2.528,0.035,-5.000,2.532,0.047,-5.021,0.2630,0.8603,0.0501,0.0017,0.0017,-2.512,-0.001,-5.000,-2.522,-0.002,-5.015,0.2658,0.8501,0.0376,-0.0071,0.0053
432,-1.5673,2.527,0.037,-5.000,2.531,0.051,-5.022,0.2643,0.8584,0.0523,0.0004,0.0022,-2.514,0.001,-5.000,-2.525,0.002,-5.015,0.2672,0.8501,0.0426,-0.0085,0.0050
433,-1.5668,2.527,0.039,-5.000,2.529,0.054,-5.023,0.2654,0.8579,0.0544,-0.0006,0.0021,-2.514,0.004,-5.000,-2.527,0.005,-5.014,0.2697,0.8484,0.0476,-0.0093,0.0050
434,-1.5662,2.526,0.041,-5.000,2.527,0.056,-5.023,0.2662,0.8578,0.0562,-0.0014,0.0018,-2.515,0.005,-5.000,-2.529,0.007,-5.012,0.2708,0.8485,0.0523,-0.0091,0.0047
435,-1.5656,2.524,0.043,-5.000,2.524,0.058,-5.023,0.2673,0.8570,0.0581,-0.0020,0.0019,-2.514,0.006,-5.000,-2.529,0.009,-5.011,0.2689,0.8528,0.0557,-0.0081,0.0034
436,-1.5650,2.523,0.043,-5.000,2.520,0.059,-5.023,0.2681,0.8567,0.0598,-0.0021,0.0017,-2.513,0.007,-5.000,-2.528,0.010,-5.009,0.2683,0.8551,0.0582,-0.0062,0.0025
437,-1.5643,2.521,0.044,-5.000,2.517,0.060,-5.022,0.2693,0.8554,0.0618,-0.0019,0.0020,-2.511,0.008,-5.000,-2.527,0.010,-5.008,0.2691,0.8550,0.0605,-0.0038,0.0023
438,-1.5635,2.519,0.043,-5.000,2.513,0.059,-5.020,0.2700,0.8553,0.0635,-0.0014,0.0017,-2.509,0.007,-5.000,-2.525,0.009,-5.008,0.2691,0.8563,0.0620,-0.0007,0.0015
439,-1.5627,2.517,0.042,-5.000,2.508,0.057,-5.019,0.2709,0.8546,0.0652,-0.0007,0.0018,-2.506,0.005,-5.000,-2.522,0.007,-5.010,0.2631,0.8625,0.0629,0.0024,0.0009
440,-1.5619,2.514,0.039,-5.000,2.502,0.054,-5.017,0.2746,0.8488,0.0685,0.0003,0.0033,-2.502,0.003,-5.000,-2.518,0.004,-5.011,0.2574,0.8687,0.0632,0.0053,0.0003
441,-1.5610,2.510,0.036,-5.000,2.495,0.050,-5.014,0.2832,0.8383,0.0737,0.0015,0.0052,-2.498,0.002,-5.000,-2.515,0.003,-5.013,0.2625,0.8638,0.0640,0.0076,0.0008
442,-1.5600,2.507,0.033,-5.000,2.487,0.046,-5.011,0.2957,0.8246,0.0810,0.0026,0.0073,-2.494,0.001,-5.000,-2.512,0.002,-5.014,0.2718,0.8547,0.0656,0.0095,0.0017
443,-1.5590,2.504,0.029,-5.000,2.479,0.042,-5.008,0.3090,0.8113,0.0900,0.0037,0.0090,-2.490,0.001,-5.000,-2.509,0.001,-5.013,0.2739,0.8516,0.0681,0.0106,0.0025
444,-1.5579,2.501,0.026,-5.000,2.472,0.037,-5.004,0.3161,0.8056,0.0995,0.0044,0.0095,-2.487,0.000,-5.000,-2.506,0.000,-5.011,0.2750,0.8510,0.0705,0.0111,0.0024
445,-1.5567,2.499,0.022,-5.000,2.465,0.032,-5.000,0.3276,0.7951,0.1101,0.0047,0.0107,-2.483,0.000,-5.000,-2.504,0.000,-5.009,0.2798,0.8444,0.0743,0.0109,0.0038
446,-1.5555,2.498,0.018,-5.000,2.458,0.027,-4.997,0.3343,0.7903,0.1210,0.0048,0.0109,-2.480,0.001,-5.000,-2.503,0.001,-5.006,0.2880,0.8347,0.0798,0.0101,0.0055
447,-1.5542,2.497,0.015,-5.000,2.453,0.022,-4.993,0.3362,0.7907,0.1313,0.0043,0.0103,-2.478,0.001,-5.000,-2.503,0.002,-5.005,0.2949,0.8277,0.0862,0.0085,0.0064
