tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
466,-1.5708,2.484,0.039,-5.000,2.467,0.078,-4.981,0.5020,0.6087,0.0849,-0.0025,0.0849,-2.550,0.026,-5.000,-2.603,0.054,-5.047,0.5142,0.6003,0.1160,-0.0096,0.1160
467,-1.5708,2.477,0.051,-5.000,2.470,0.067,-4.982,0.2297,0.9016,0.0733,0.0031,-0.0116,-2.577,0.034,-5.000,-2.605,0.047,-5.050,0.2651,0.8701,0.1145,-0.0041,-0.0016
468,-1.5708,2.478,0.040,-5.000,2.472,0.050,-4.991,0.1979,0.9204,0.0575,0.0092,-0.0158,-2.578,0.025,-5.000,-2.606,0.034,-5.060,0.2612,0.8774,0.1113,0.0029,-0.0031
469,-1.5708,2.480,0.029,-5.000,2.475,0.036,-5.001,0.2038,0.9165,0.0440,0.0137,-0.0135,-2.579,0.013,-5.000,-2.607,0.017,-5.077,0.2612,0.8759,0.1088,0.0098,-0.0025
470,-1.5708,2.482,0.017,-5.000,2.477,0.021,-5.012,0.2013,0.9182,0.0311,0.0177,-0.0129,-2.579,0.002,-5.000,-2.609,0.003,-5.093,0.2773,0.8550,0.1095,0.0147,0.0007
471,-1.5707,2.484,0.008,-5.000,2.479,0.011,-5.020,0.2325,0.8981,0.0239,0.0202,-0.0072,-2.579,-0.005,-5.000,-2.613,-0.007,-5.106,0.3011,0.8299,0.1134,0.0181,0.0040
472,-1.5707,2.485,0.004,-5.000,2.480,0.005,-5.021,0.2227,0.8984,0.0206,0.0209,-0.0034,-2.581,-0.006,-5.000,-2.617,-0.009,-5.109,0.3055,0.8254,0.1181,0.0194,0.0047
473,-1.5706,2.486,-0.000,-5.000,2.482,-0.000,-5.014,0.2290,0.8916,0.0188,0.0201,-0.0018,-2.584,-0.005,-5.000,-2.622,-0.008,-5.103,0.3107,0.8203,0.1235,0.0197,0.0054
474,-1.5706,2.487,-0.003,-5.000,2.483,-0.004,-5.002,0.2425,0.8789,0.0188,0.0184,-0.0000,-2.587,-0.005,-5.000,-2.627,-0.007,-5.090,0.3131,0.8188,0.1288,0.0185,0.0053
475,-1.5705,2.487,-0.005,-5.000,2.483,-0.007,-4.987,0.2488,0.8723,0.0201,0.0160,0.0013,-2.590,-0.004,-5.000,-2.631,-0.006,-5.077,0.3102,0.8244,0.1324,0.0163,0.0036
476,-1.5704,2.487,-0.005,-5.000,2.481,-0.007,-4.976,0.2495,0.8708,0.0218,0.0132,0.0017,-2.591,-0.003,-5.000,-2.634,-0.004,-5.064,0.3106,0.8247,0.1357,0.0126,0.0033
477,-1.5702,2.485,-0.002,-5.000,2.480,-0.003,-4.971,0.2497,0.8710,0.0232,0.0093,0.0014,-2.593,0.000,-5.000,-2.636,0.001,-5.059,0.3087,0.8267,0.1387,0.0084,0.0030
478,-1.5701,2.484,0.005,-5.000,2.478,0.007,-4.974,0.2535,0.8635,0.0265,0.0040,0.0033,-2.594,0.007,-5.000,-2.639,0.010,-5.061,0.3155,0.8198,0.1426,0.0031,0.0039
479,-1.5699,2.485,0.016,-5.000,2.477,0.023,-4.984,0.2854,0.8249,0.0360,-0.0027,0.0095,-2.595,0.015,-5.000,-2.642,0.023,-5.068,0.3251,0.8086,0.1486,-0.0025,0.0060
480,-1.5697,2.485,0.026,-5.000,2.476,0.037,-4.995,0.3029,0.8080,0.0476,-0.0078,0.0116,-2.595,0.024,-5.000,-2.647,0.037,-5.078,0.3389,0.7945,0.1568,-0.0082,0.0082
481,-1.5695,2.486,0.037,-5.000,2.475,0.055,-5.011,0.3295,0.7814,0.0637,-0.0134,0.0160,-2.597,0.032,-5.000,-2.652,0.049,-5.087,0.3496,0.7847,0.1662,-0.0137,0.0094
482,-1.5692,2.485,0.046,-5.000,2.474,0.068,-5.022,0.3198,0.7965,0.0758,-0.0169,0.0122,-2.599,0.038,-5.000,-2.657,0.058,-5.094,0.3530,0.7834,0.1754,-0.0180,0.0092
483,-1.5689,2.484,0.052,-5.000,2.473,0.074,-5.024,0.2936,0.8290,0.0823,-0.0182,0.0064,-2.602,0.041,-5.000,-2.663,0.064,-5.093,0.3545,0.7839,0.1840,-0.0209,0.0086
484,-1.5685,2.483,0.054,-5.000,2.471,0.076,-5.014,0.2862,0.8406,0.0860,-0.0179,0.0038,-2.605,0.043,-5.000,-2.668,0.067,-5.086,0.3523,0.7886,0.1912,-0.0220,0.0072
485,-1.5682,2.483,0.056,-5.000,2.471,0.078,-4.998,0.2857,0.8430,0.0888,-0.0162,0.0028,-2.607,0.044,-5.000,-2.672,0.068,-5.074,0.3533,0.7892,0.1978,-0.0215,0.0066
486,-1.5677,2.483,0.057,-5.000,2.470,0.079,-4.982,0.2835,0.8462,0.0909,-0.0135,0.0020,-2.609,0.044,-5.000,-2.676,0.069,-5.062,0.3532,0.7911,0.2037,-0.0198,0.0058
487,-1.5673,2.483,0.057,-5.000,2.470,0.077,-4.969,0.2628,0.8662,0.0907,-0.0101,-0.0001,-2.611,0.043,-5.000,-2.680,0.067,-5.052,0.3512,0.7945,0.2085,-0.0165,0.0049
488,-1.5668,2.483,0.054,-5.000,2.471,0.072,-4.962,0.2501,0.8842,0.0870,-0.0060,-0.0038,-2.614,0.040,-5.000,-2.682,0.060,-5.048,0.3347,0.8117,0.2110,-0.0119,0.0025
489,-1.5662,2.485,0.044,-5.000,2.472,0.060,-4.964,0.2643,0.8804,0.0790,-0.0008,-0.0079,-2.617,0.033,-5.000,-2.683,0.048,-5.052,0.3193,0.8279,0.2115,-0.0058,0.0004
490,-1.5656,2.487,0.035,-5.000,2.473,0.048,-4.971,0.2614,0.8821,0.0710,0.0039,-0.0081,-2.616,0.023,-5.000,-2.684,0.035,-5.060,0.3233,0.8234,0.2124,-0.0008,0.0010
491,-1.5650,2.488,0.034,-5.000,2.474,0.045,-4.973,0.2627,0.8642,0.0715,0.0047,0.0006,-2.612,0.020,-5.000,-2.684,0.030,-5.063,0.3374,0.8091,0.2151,0.0007,0.0027
492,-1.5643,2.491,0.022,-5.000,2.476,0.030,-4.986,0.2565,0.8848,0.0636,0.0103,-0.0079,-2.611,0.008,-5.000,-2.685,0.012,-5.077,0.3372,0.8101,0.2176,0.0065,0.0025
493,-1.5635,2.493,0.013,-5.000,2.480,0.017,-4.998,0.2384,0.8918,0.0589,0.0148,-0.0047,-2.607,-0.002,-5.000,-2.686,-0.003,-5.092,0.3519,0.7957,0.2218,0.0116,0.0042
494,-1.5627,2.497,0.007,-5.000,2.483,0.009,-5.006,0.2481,0.8786,0.0580,0.0176,-0.0009,-2.604,-0.008,-5.000,-2.687,-0.012,-5.101,0.3625,0.7859,0.2272,0.0155,0.0054
495,-1.5619,2.501,0.003,-5.000,2.487,0.004,-5.008,0.2523,0.8730,0.0579,0.0192,-0.0001,-2.603,-0.010,-5.000,-2.687,-0.015,-5.100,0.3637,0.7855,0.2325,0.0172,0.0053
496,-1.5610,2.506,0.001,-5.000,2.490,0.002,-5.003,0.2649,0.8619,0.0590,0.0191,0.0010,-2.602,-0.010,-5.000,-2.688,-0.016,-5.091,0.3636,0.7864,0.2374,0.0176,0.0049
497,-1.5600,2.510,-0.000,-5.000,2.493,-0.001,-4.993,0.2698,0.8569,0.0605,0.0180,0.0015,-2.600,-0.010,-5.000,-2.687,-0.016,-5.075,0.3613,0.7895,0.2417,0.0166,0.0043
498,-1.5590,2.513,-0.002,-5.000,2.496,-0.002,-4.981,0.2716,0.8535,0.0630,0.0157,0.0025,-2.598,-0.010,-5.000,-2.686,-0.015,-5.058,0.3606,0.7908,0.2457,0.0143,0.0039
499,-1.5579,2.516,-0.001,-5.000,2.498,-0.001,-4.974,0.2758,0.8476,0.0667,0.0129,0.0037,-2.594,-0.008,-5.000,-2.685,-0.012,-5.048,0.3622,0.7898,0.2496,0.0111,0.0039
500,-1.5567,2.519,0.005,-5.000,2.500,0.006,-4.972,0.2787,0.8443,0.0709,0.0087,0.0042,-2.591,-0.003,-5.000,-2.683,-0.005,-5.045,0.3608,0.7918,0.2531,0.0063,0.0035
501,-1.5555,2.523,0.013,-5.000,2.502,0.018,-4.978,0.2867,0.8348,0.0766,0.0037,0.0057,-2.587,0.003,-5.000,-2.681,0.005,-5.047,0.3654,0.7875,0.2570,0.0015,0.0039
502,-1.5542,2.529,0.025,-5.000,2.505,0.036,-4.991,0.3077,0.8116,0.0858,-0.0022,0.0092,-2.581,0.012,-5.000,-2.678,0.018,-5.055,0.3704,0.7831,0.2614,-0.0047,0.0044
503,-1.5529,2.535,0.037,-5.000,2.507,0.055,-5.007,0.3331,0.7867,0.0985,-0.0077,0.0127,-2.576,0.021,-5.000,-2.674,0.033,-5.066,0.3733,0.7810,0.2659,-0.0113,0.0045
504,-1.5515,2.540,0.048,-5.000,2.511,0.073,-5.024,0.3459,0.7766,0.1124,-0.0126,0.0139,-2.570,0.028,-5.000,-2.670,0.044,-5.075,0.3741,0.7811,0.2702,-0.0166,0.0043
505,-1.5500,2.543,0.056,-5.000,2.513,0.083,-5.033,0.3311,0.7948,0.1225,-0.0152,0.0101,-2.565,0.033,-5.000,-2.665,0.052,-5.081,0.3703,0.7860,0.2736,-0.0205,0.0034
506,-1.5484,2.546,0.059,-5.000,2.514,0.087,-5.034,0.3223,0.8073,0.1299,-0.0164,0.0075,-2.560,0.037,-5.000,-2.658,0.057,-5.080,0.3648,0.7926,0.2759,-0.0225,0.0023
507,-1.5468,2.548,0.060,-5.000,2.515,0.087,-5.024,0.3186,0.8138,0.1358,-0.0161,0.0059,-2.552,0.038,-5.000,-2.652,0.059,-5.072,0.3660,0.7918,0.2781,-0.0228,0.0023
508,-1.5451,2.552,0.060,-5.000,2.516,0.087,-5.010,0.3203,0.8132,0.1413,-0.0145,0.0056,-2.544,0.039,-5.000,-2.646,0.061,-5.059,0.3697,0.7882,0.2808,-0.0216,0.0027
509,-1.5433,2.557,0.060,-5.000,2.519,0.087,-4.994,0.3198,0.8155,0.1460,-0.0115,0.0047,-2.536,0.038,-5.000,-2.641,0.061,-5.046,0.3783,0.7794,0.2847,-0.0194,0.0038
510,-1.5414,2.560,0.057,-5.000,2.521,0.082,-4.984,0.3132,0.8237,0.1491,-0.0080,0.0031,-2.528,0.036,-5.000,-2.637,0.058,-5.039,0.3853,0.7727,0.2893,-0.0165,0.0047
511,-1.5395,2.563,0.052,-5.000,2.524,0.072,-4.981,0.2897,0.8475,0.1495,-0.0036,0.0003,-2.522,0.031,-5.000,-2.633,0.049,-5.037,0.3827,0.7762,0.2933,-0.0114,0.0039
512,-1.5375,2.568,0.042,-5.000,2.527,0.058,-4.985,0.2913,0.8457,0.1500,0.0011,0.0005,-2.516,0.023,-5.000,-2.629,0.035,-5.043,0.3828,0.7767,0.2969,-0.0047,0.0036
513,-1.5354,2.575,0.030,-5.000,2.530,0.041,-4.994,0.3066,0.8306,0.1522,0.0058,0.0022,-2.507,0.012,-5.000,-2.624,0.018,-5.055,0.3870,0.7729,0.3009,0.0020,0.0040
514,-1.5332,2.583,0.017,-5.000,2.533,0.023,-5.005,0.3242,0.8133,0.1565,0.0108,0.0043,-2.498,0.002,-5.000,-2.617,0.000,-5.069,0.3910,0.7695,0.3053,0.0080,0.0044
515,-1.5309,2.591,0.007,-5.000,2.536,0.009,-5.014,0.3371,0.7989,0.1635,0.0148,0.0070,-2.488,-0.007,-5.000,-2.610,-0.015,-5.083,0.3945,0.7666,0.3099,0.0132,0.0046
516,-1.5286,2.599,0.001,-5.000,2.539,-0.001,-5.018,0.3483,0.7879,0.1720,0.0173,0.0085,-2.479,-0.012,-5.000,-2.602,-0.022,-5.089,0.3950,0.7670,0.3142,0.0163,0.0043
517,-1.5262,2.607,-0.003,-5.000,2.542,-0.008,-5.016,0.3564,0.7810,0.1813,0.0185,0.0093,-2.468,-0.013,-5.000,-2.595,-0.025,-5.086,0.3999,0.7625,0.3191,0.0172,0.0048
518,-1.5237,2.615,-0.006,-5.000,2.545,-0.012,-5.006,0.3656,0.7731,0.1915,0.0185,0.0102,-2.457,-0.013,-5.000,-2.587,-0.026,-5.073,0.4029,0.7601,0.3240,0.0168,0.0050
519,-1.5211,2.623,-0.008,-5.000,2.547,-0.017,-4.994,0.3760,0.7642,0.2027,0.0176,0.0113,-2.445,-0.013,-5.000,-2.580,-0.027,-5.057,0.4118,0.7515,0.3303,0.0152,0.0063
520,-1.5184,2.631,-0.011,-5.000,2.550,-0.021,-4.982,0.3823,0.7594,0.2143,0.0155,0.0116,-2.434,-0.012,-5.000,-2.573,-0.026,-5.042,0.4160,0.7480,0.3370,0.0125,0.0066
521,-1.5156,2.639,-0.011,-5.000,2.552,-0.023,-4.976,0.3877,0.7554,0.2261,0.0127,0.0118,-2.422,-0.010,-5.000,-2.568,-0.023,-5.035,0.4245,0.7401,0.3450,0.0097,0.0080
522,-1.5127,2.647,-0.009,-5.000,2.555,-0.021,-4.976,0.3900,0.7562,0.2370,0.0087,0.0109,-2.411,-0.005,-5.000,-2.562,-0.016,-5.034,0.4278,0.7379,0.3529,0.0055,0.0080
523,-1.5098,2.655,-0.004,-5.000,2.559,-0.012,-4.983,0.3887,0.7599,0.2466,0.0034,0.0096,-2.400,0.002,-5.000,-2.556,-0.003,-5.042,0.4328,0.7338,0.3612,-0.0000,0.0083
524,-1.5067,2.665,0.004,-5.000,2.565,0.000,-4.996,0.3915,0.7589,0.2559,-0.0021,0.0093,-2.386,0.009,-5.000,-2.551,0.009,-5.052,0.4456,0.7210,0.3714,-0.0053,0.0102
