tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
411,-1.5708,2.500,0.015,-5.000,2.500,0.023,-5.015,0.3433,0.7994,0.0226,-0.0045,0.0226,-2.500,0.018,-5.000,-2.500,0.027,-5.027,0.3436,0.7989,0.0270,-0.0095,0.0270
412,-1.5708,2.499,0.017,-5.000,2.499,0.025,-5.006,0.3449,0.7995,0.0254,-0.0031,0.0028,-2.498,0.017,-5.000,-2.497,0.027,-5.019,0.3442,0.8002,0.0268,-0.0070,-0.0002
413,-1.5708,2.498,0.017,-5.000,2.497,0.026,-5.000,0.3443,0.8001,0.0257,-0.0016,0.0003,-2.497,0.016,-5.000,-2.495,0.024,-5.015,0.3436,0.8008,0.0249,-0.0037,-0.0019
414,-1.5708,2.497,0.015,-5.000,2.496,0.023,-5.000,0.3436,0.8009,0.0236,-0.0000,-0.0021,-2.496,0.013,-5.000,-2.494,0.020,-5.015,0.3431,0.8016,0.0211,-0.0003,-0.0038
415,-1.5708,2.496,0.013,-5.000,2.494,0.019,-5.003,0.3430,0.8016,0.0200,0.0015,-0.0036,-2.496,0.010,-5.000,-2.494,0.015,-5.020,0.3420,0.8023,0.0159,0.0030,-0.0053
416,-1.5707,2.495,0.010,-5.000,2.492,0.014,-5.010,0.3427,0.8018,0.0166,0.0031,-0.0035,-2.496,0.005,-5.000,-2.494,0.007,-5.029,0.3411,0.8029,0.0096,0.0063,-0.0063
417,-1.5707,2.494,0.007,-5.000,2.491,0.011,-5.018,0.3430,0.8013,0.0148,0.0046,-0.0018,-2.496,0.001,-5.000,-2.495,0.001,-5.037,0.3412,0.8027,0.0048,0.0087,-0.0048
418,-1.5706,2.493,0.006,-5.000,2.489,0.009,-5.023,0.3435,0.8009,0.0147,0.0055,-0.0001,-2.498,-0.002,-5.000,-2.497,-0.003,-5.044,0.3428,0.8015,0.0041,0.0104,-0.0007
419,-1.5706,2.493,0.006,-5.000,2.488,0.008,-5.026,0.3438,0.8006,0.0154,0.0062,0.0007,-2.500,-0.004,-5.000,-2.501,-0.006,-5.046,0.3436,0.8006,0.0067,0.0115,0.0026
420,-1.5705,2.492,0.005,-5.000,2.487,0.008,-5.023,0.3442,0.8002,0.0171,0.0065,0.0017,-2.503,-0.005,-5.000,-2.506,-0.008,-5.042,0.3441,0.8002,0.0108,0.0117,0.0041
421,-1.5704,2.491,0.006,-5.000,2.485,0.009,-5.017,0.3445,0.7999,0.0194,0.0065,0.0023,-2.507,-0.006,-5.000,-2.512,-0.009,-5.035,0.3445,0.7998,0.0168,0.0112,0.0059
422,-1.5702,2.490,0.006,-5.000,2.483,0.009,-5.010,0.3448,0.7997,0.0220,0.0062,0.0026,-2.510,-0.007,-5.000,-2.517,-0.010,-5.029,0.3452,0.7992,0.0223,0.0102,0.0055
423,-1.5701,2.489,0.007,-5.000,2.481,0.011,-5.004,0.3450,0.7994,0.0251,0.0056,0.0031,-2.515,-0.007,-5.000,-2.524,-0.011,-5.022,0.3459,0.7985,0.0297,0.0085,0.0075
424,-1.5699,2.488,0.010,-5.000,2.480,0.015,-5.002,0.3454,0.7990,0.0289,0.0047,0.0039,-2.519,-0.006,-5.000,-2.532,-0.009,-5.019,0.3467,0.7976,0.0372,0.0060,0.0074
425,-1.5697,2.488,0.014,-5.000,2.479,0.022,-5.004,0.3459,0.7984,0.0339,0.0031,0.0050,-2.523,-0.003,-5.000,-2.539,-0.005,-5.020,0.3470,0.7973,0.0443,0.0032,0.0072
426,-1.5695,2.489,0.020,-5.000,2.480,0.030,-5.010,0.3466,0.7977,0.0403,0.0012,0.0064,-2.528,0.001,-5.000,-2.546,0.002,-5.025,0.3477,0.7965,0.0526,-0.0005,0.0083
427,-1.5692,2.490,0.026,-5.000,2.481,0.040,-5.019,0.3474,0.7968,0.0483,-0.0011,0.0080,-2.531,0.006,-5.000,-2.552,0.009,-5.031,0.3484,0.7960,0.0610,-0.0042,0.0084
