tick,theta,d1_x_cmd,d1_y_cmd,d1_z_cmd,d1_x_act,d1_y_act,d1_z_act,d1_alpha,d1_beta,d1_e_p,d1_e_a,d1_de_p,d2_x_cmd,d2_y_cmd,d2_z_cmd,d2_x_act,d2_y_act,d2_z_act,d2_alpha,d2_beta,d2_e_p,d2_e_a,d2_de_p
411,-1.5708,2.465,0.002,-5.000,2.431,0.004,-4.995,0.4962,0.6126,0.0688,0.0008,0.0688,-2.491,0.012,-5.000,-2.486,0.017,-5.021,0.3331,0.7574,0.0222,-0.0004,0.0222
412,-1.5708,2.449,-0.001,-5.000,2.430,-0.002,-4.996,0.2641,0.8626,0.0696,0.0048,0.0008,-2.493,0.016,-5.000,-2.491,0.021,-5.019,0.2475,0.8741,0.0227,-0.0008,0.0004
413,-1.5708,2.449,-0.006,-5.000,2.430,-0.007,-4.997,0.2624,0.8647,0.0702,0.0091,0.0005,-2.497,0.018,-5.000,-2.496,0.025,-5.017,0.2506,0.8677,0.0250,-0.0010,0.0023
414,-1.5708,2.449,-0.010,-5.000,2.431,-0.013,-4.998,0.2580,0.8690,0.0702,0.0125,0.0001,-2.500,0.021,-5.000,-2.500,0.029,-5.016,0.2546,0.8622,0.0285,-0.0010,0.0035
415,-1.5708,2.450,-0.014,-5.000,2.432,-0.019,-5.000,0.2568,0.8697,0.0702,0.0154,-0.0000,-2.503,0.024,-5.000,-2.505,0.033,-5.014,0.2603,0.8554,0.0331,-0.0009,0.0046
416,-1.5707,2.451,-0.018,-5.000,2.434,-0.024,-5.002,0.2591,0.8683,0.0704,0.0175,0.0002,-2.506,0.027,-5.000,-2.509,0.036,-5.013,0.2612,0.8558,0.0373,-0.0008,0.0042
417,-1.5707,2.453,-0.022,-5.000,2.436,-0.030,-5.003,0.2634,0.8647,0.0709,0.0185,0.0005,-2.510,0.029,-5.000,-2.513,0.039,-5.011,0.2621,0.8560,0.0412,-0.0008,0.0039
418,-1.5706,2.455,-0.026,-5.000,2.438,-0.035,-5.003,0.2663,0.8618,0.0717,0.0186,0.0008,-2.513,0.030,-5.000,-2.518,0.041,-5.009,0.2655,0.8527,0.0455,-0.0006,0.0043
419,-1.5706,2.456,-0.029,-5.000,2.440,-0.039,-5.003,0.2648,0.8633,0.0724,0.0175,0.0006,-2.517,0.031,-5.000,-2.523,0.043,-5.008,0.2649,0.8550,0.0490,-0.0004,0.0035
420,-1.5705,2.458,-0.032,-5.000,2.443,-0.043,-5.002,0.2655,0.8625,0.0731,0.0154,0.0007,-2.519,0.032,-5.000,-2.527,0.043,-5.008,0.2641,0.8581,0.0513,-0.0002,0.0024
421,-1.5704,2.460,-0.034,-5.000,2.445,-0.047,-5.000,0.2665,0.8613,0.0739,0.0124,0.0008,-2.521,0.031,-5.000,-2.529,0.043,-5.008,0.2643,0.8596,0.0529,0.0001,0.0016
422,-1.5702,2.462,-0.037,-5.000,2.447,-0.050,-4.999,0.2692,0.8584,0.0750,0.0093,0.0011,-2.521,0.031,-5.000,-2.529,0.042,-5.008,0.2496,0.8753,0.0527,0.0002,-0.0003
423,-1.5701,2.464,-0.039,-5.000,2.449,-0.053,-4.999,0.2703,0.8572,0.0762,0.0061,0.0012,-2.520,0.031,-5.000,-2.528,0.041,-5.009,0.2450,0.8816,0.0515,0.0002,-0.0011
424,-1.5699,2.465,-0.041,-5.000,2.451,-0.056,-4.999,0.2707,0.8566,0.0774,0.0024,0.0012,-2.519,0.030,-5.000,-2.526,0.040,-5.010,0.2451,0.8810,0.0505,0.0002,-0.0010
425,-1.5697,2.467,-0.042,-5.000,2.452,-0.058,-5.000,0.2710,0.8563,0.0786,-0.0010,0.0012,-2.517,0.029,-5.000,-2.525,0.039,-5.010,0.2449,0.8811,0.0495,0.0004,-0.0010
426,-1.5695,2.468,-0.043,-5.000,2.453,-0.059,-5.000,0.2717,0.8560,0.0799,-0.0040,0.0012,-2.516,0.029,-5.000,-2.523,0.039,-5.010,0.2466,0.8785,0.0489,0.0007,-0.0006
427,-1.5692,2.469,-0.044,-5.000,2.454,-0.060,-5.000,0.2717,0.8564,0.0811,-0.0065,0.0012,-2.514,0.029,-5.000,-2.521,0.039,-5.010,0.2478,0.8767,0.0485,0.0010,-0.0003
428,-1.5689,2.469,-0.044,-5.000,2.454,-0.061,-4.999,0.2702,0.8581,0.0820,-0.0079,0.0010,-2.513,0.029,-5.000,-2.520,0.039,-5.010,0.2500,0.8741,0.0485,0.0012,0.0000
429,-1.5685,2.470,-0.044,-5.000,2.455,-0.061,-4.998,0.2705,0.8580,0.0830,-0.0084,0.0010,-2.511,0.029,-5.000,-2.518,0.039,-5.009,0.2533,0.8709,0.0488,0.0015,0.0003
430,-1.5682,2.471,-0.044,-5.000,2.455,-0.060,-4.997,0.2712,0.8574,0.0840,-0.0078,0.0010,-2.509,0.029,-5.000,-2.517,0.039,-5.007,0.2568,0.8675,0.0495,0.0019,0.0007
431,-1.5677,2.472,-0.044,-5.000,2.455,-0.060,-4.996,0.2731,0.8554,0.0852,-0.0061,0.0012,-2.508,0.029,-5.000,-2.516,0.039,-5.005,0.2556,0.8688,0.0500,0.0022,0.0005
432,-1.5673,2.473,-0.044,-5.000,2.457,-0.060,-4.995,0.2676,0.8608,0.0858,-0.0032,0.0006,-2.507,0.028,-5.000,-2.516,0.038,-5.003,0.2541,0.8703,0.0504,0.0026,0.0004
433,-1.5668,2.475,-0.045,-5.000,2.459,-0.061,-4.995,0.2654,0.8628,0.0862,0.0001,0.0004,-2.506,0.027,-5.000,-2.515,0.036,-5.001,0.2521,0.8724,0.0505,0.0030,0.0001
434,-1.5662,2.478,-0.045,-5.000,2.462,-0.061,-4.996,0.2640,0.8646,0.0864,0.0035,0.0002,-2.505,0.026,-5.000,-2.515,0.034,-4.999,0.2567,0.8678,0.0511,0.0032,0.0006
435,-1.5656,2.481,-0.045,-5.000,2.466,-0.061,-4.997,0.2594,0.8694,0.0860,0.0075,-0.0004,-2.505,0.024,-5.000,-2.515,0.032,-4.997,0.2628,0.8618,0.0523,0.0033,0.0012
436,-1.5650,2.485,-0.046,-5.000,2.470,-0.061,-4.998,0.2570,0.8725,0.0852,0.0109,-0.0008,-2.504,0.022,-5.000,-2.517,0.030,-4.996,0.2658,0.8575,0.0545,0.0031,0.0022
437,-1.5643,2.490,-0.045,-5.000,2.476,-0.061,-4.999,0.2527,0.8797,0.0832,0.0138,-0.0020,-2.505,0.020,-5.000,-2.519,0.028,-4.996,0.2705,0.8507,0.0582,0.0028,0.0037
438,-1.5635,2.495,-0.045,-5.000,2.482,-0.060,-5.000,0.2521,0.8799,0.0812,0.0156,-0.0020,-2.506,0.019,-5.000,-2.522,0.026,-4.996,0.2774,0.8426,0.0633,0.0022,0.0051
439,-1.5627,2.501,-0.044,-5.000,2.488,-0.058,-5.001,0.2477,0.8841,0.0783,0.0165,-0.0029,-2.506,0.017,-5.000,-2.524,0.024,-4.997,0.2808,0.8397,0.0686,0.0013,0.0053
440,-1.5619,2.506,-0.042,-5.000,2.494,-0.056,-5.001,0.2471,0.8841,0.0756,0.0164,-0.0027,-2.506,0.016,-5.000,-2.526,0.022,-4.999,0.2835,0.8378,0.0739,0.0002,0.0053
441,-1.5610,2.512,-0.040,-5.000,2.499,-0.053,-5.001,0.2469,0.8838,0.0732,0.0154,-0.0025,-2.505,0.015,-5.000,-2.527,0.021,-5.001,0.2855,0.8370,0.0790,-0.0010,0.0051
442,-1.5600,2.517,-0.039,-5.000,2.505,-0.051,-5.001,0.2481,0.8822,0.0712,0.0137,-0.0020,-2.504,0.014,-5.000,-2.528,0.019,-5.003,0.2867,0.8372,0.0838,-0.0020,0.0047
443,-1.5590,2.523,-0.037,-5.000,2.511,-0.049,-5.001,0.2471,0.8827,0.0692,0.0113,-0.0020,-2.502,0.012,-5.000,-2.527,0.017,-5.004,0.2871,0.8383,0.0879,-0.0030,0.0042
444,-1.5579,2.528,-0.036,-5.000,2.516,-0.048,-5.000,0.2511,0.8767,0.0683,0.0088,-0.0009,-2.500,0.011,-5.000,-2.526,0.015,-5.005,0.2873,0.8398,0.0914,-0.0038,0.0035
445,-1.5567,2.533,-0.034,-5.000,2.521,-0.046,-5.001,0.2514,0.8761,0.0675,0.0059,-0.0008,-2.496,0.010,-5.000,-2.523,0.013,-5.006,0.2882,0.8401,0.0944,-0.0042,0.0031
446,-1.5555,2.538,-0.032,-5.000,2.525,-0.043,-5.001,0.2581,0.8682,0.0677,0.0032,0.0002,-2.492,0.007,-5.000,-2.520,0.010,-5.008,0.2892,0.8401,0.0972,-0.0040,0.0027
447,-1.5542,2.542,-0.029,-5.000,2.528,-0.040,-5.002,0.2657,0.8604,0.0687,0.0006,0.0010,-2.488,0.004,-5.000,-2.518,0.006,-5.009,0.2919,0.8370,0.1005,-0.0034,0.0033
448,-1.5529,2.546,-0.026,-5.000,2.529,-0.036,-5.002,0.2745,0.8510,0.0710,-0.0017,0.0023,-2.484,0.002,-5.000,-2.515,0.003,-5.010,0.2951,0.8335,0.1044,-0.0025,0.0039
449,-1.5515,2.548,-0.023,-5.000,2.529,-0.033,-5.001,0.2816,0.8414,0.0755,-0.0033,0.0045,-2.479,-0.000,-5.000,-2.511,-0.000,-5.010,0.2958,0.8340,0.1078,-0.0013,0.0034
450,-1.5500,2.550,-0.020,-5.000,2.528,-0.029,-5.001,0.2908,0.8311,0.0816,-0.0043,0.0061,-2.474,-0.002,-5.000,-2.508,-0.003,-5.010,0.2992,0.8303,0.1118,0.0000,0.0040
451,-1.5484,2.552,-0.017,-5.000,2.527,-0.024,-4.999,0.2997,0.8222,0.0888,-0.0046,0.0072,-2.469,-0.004,-5.000,-2.504,-0.006,-5.010,0.3013,0.8291,0.1158,0.0015,0.0040
452,-1.5468,2.555,-0.013,-5.000,2.525,-0.020,-4.998,0.3104,0.8116,0.0973,-0.0040,0.0086,-2.463,-0.005,-5.000,-2.500,-0.008,-5.010,0.3051,0.8254,0.1203,0.0026,0.0045
453,-1.5451,2.557,-0.011,-5.000,2.523,-0.017,-4.998,0.3210,0.8018,0.1070,-0.0028,0.0097,-2.457,-0.005,-5.000,-2.495,-0.009,-5.010,0.3057,0.8263,0.1242,0.0034,0.0039
454,-1.5433,2.559,-0.008,-5.000,2.521,-0.013,-4.998,0.3285,0.7957,0.1172,-0.0008,0.0102,-2.451,-0.006,-5.000,-2.490,-0.009,-5.010,0.3076,0.8253,0.1280,0.0038,0.0038
455,-1.5414,2.562,-0.006,-5.000,2.520,-0.010,-4.998,0.3324,0.7938,0.1272,0.0013,0.0100,-2.444,-0.005,-5.000,-2.485,-0.009,-5.011,0.3105,0.8227,0.1321,0.0040,0.0041
456,-1.5395,2.566,-0.004,-5.000,2.520,-0.008,-4.998,0.3358,0.7926,0.1369,0.0038,0.0097,-2.437,-0.005,-5.000,-2.479,-0.009,-5.011,0.3103,0.8245,0.1354,0.0039,0.0033
457,-1.5375,2.570,-0.002,-5.000,2.521,-0.005,-4.999,0.3377,0.7929,0.1460,0.0066,0.0091,-2.429,-0.005,-5.000,-2.472,-0.008,-5.011,0.3135,0.8214,0.1392,0.0036,0.0038
458,-1.5354,2.575,-0.001,-5.000,2.523,-0.003,-5.000,0.3374,0.7955,0.1542,0.0090,0.0082,-2.421,-0.004,-5.000,-2.467,-0.007,-5.011,0.3190,0.8153,0.1441,0.0031,0.0049
459,-1.5332,2.581,0.000,-5.000,2.526,-0.002,-5.001,0.3415,0.7930,0.1623,0.0106,0.0082,-2.413,-0.003,-5.000,-2.463,-0.006,-5.011,0.3300,0.8033,0.1510,0.0024,0.0069
460,-1.5309,2.588,0.001,-5.000,2.530,-0.001,-5.001,0.3418,0.7948,0.1697,0.0118,0.0074,-2.406,-0.002,-5.000,-2.460,-0.005,-5.011,0.3397,0.7939,0.1592,0.0014,0.0082
461,-1.5286,2.595,0.001,-5.000,2.535,-0.001,-5.001,0.3422,0.7963,0.1763,0.0124,0.0066,-2.399,-0.001,-5.000,-2.457,-0.004,-5.011,0.3492,0.7853,0.1684,0.0002,0.0092
462,-1.5262,2.603,0.001,-5.000,2.540,-0.000,-5.000,0.3456,0.7940,0.1830,0.0122,0.0067,-2.392,-0.001,-5.000,-2.455,-0.004,-5.012,0.3554,0.7807,0.1779,-0.0012,0.0095
463,-1.5237,2.612,0.002,-5.000,2.546,0.000,-5.000,0.3490,0.7918,0.1897,0.0114,0.0067,-2.384,0.000,-5.000,-2.452,-0.002,-5.012,0.3595,0.7785,0.1873,-0.0022,0.0094
464,-1.5211,2.622,0.003,-5.000,2.551,0.001,-5.000,0.3577,0.7835,0.1975,0.0102,0.0078,-2.377,0.002,-5.000,-2.448,-0.001,-5.012,0.3623,0.7776,0.1964,-0.0032,0.0090
465,-1.5184,2.631,0.004,-5.000,2.556,0.003,-4.999,0.3641,0.7781,0.2059,0.0084,0.0084,-2.368,0.003,-5.000,-2.444,0.000,-5.012,0.3691,0.7723,0.2059,-0.0040,0.0095
466,-1.5156,2.641,0.006,-5.000,2.560,0.005,-4.998,0.3740,0.7692,0.2155,0.0066,0.0096,-2.359,0.004,-5.000,-2.439,0.002,-5.012,0.3707,0.7726,0.2148,-0.0045,0.0089
